epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4558,1.15326,0.99853,0.81938,0.85769,0.54014,0.62691,0.40507,0.98815,0.69857,0.79495,0.000413943,0.000413943,0.000413943
2,101.527,1.1292,0.6524,0.80873,0.78868,0.60775,0.69989,0.44354,1.06901,0.56035,0.80424,0.000822387,0.000822387,0.000822387
3,151.237,1.18592,0.76921,0.81043,0.79625,0.53471,0.66721,0.38282,1.13949,0.73167,0.80846,0.00122258,0.00122258,0.00122258
4,200.717,1.32143,0.83021,0.81915,0.71995,0.61826,0.66771,0.34981,1.31898,0.76931,0.83044,0.00121287,0.00121287,0.00121287
5,252.45,1.21426,0.66572,0.8147,0.78585,0.60412,0.67682,0.40751,0.98135,0.65327,0.79929,0.0012005,0.0012005,0.0012005
6,300.819,1.16186,0.63466,0.81252,0.81248,0.63538,0.69017,0.39482,1.19347,0.61357,0.81283,0.00118812,0.00118812,0.00118812
7,349.847,1.0905,0.58212,0.80279,0.88214,0.67066,0.75353,0.4799,0.91144,0.50694,0.79281,0.00117575,0.00117575,0.00117575
8,399.499,1.23304,0.63028,0.81017,0.68795,0.62334,0.65796,0.4033,1.19367,0.64975,0.81925,0.00116337,0.00116337,0.00116337
9,449.605,1.19294,0.60348,0.80931,0.85757,0.69086,0.763,0.44702,1.01126,0.5427,0.80033,0.001151,0.001151,0.001151
10,497.992,1.02624,0.52123,0.80179,0.89802,0.69468,0.76148,0.48143,0.94881,0.48919,0.79763,0.00113863,0.00113863,0.00113863
11,547.198,1.04709,0.52261,0.80082,0.92162,0.58019,0.68309,0.44309,0.95465,0.5282,0.79583,0.00112625,0.00112625,0.00112625
12,595.778,1.02119,0.51166,0.79827,0.89354,0.67231,0.77862,0.5077,0.94512,0.49226,0.79386,0.00111388,0.00111388,0.00111388
